"N:METH:cg00828602:WNT5A:TssD837:Island"	"N:METH:cg03588357:GPR68:TssD52:Island"	"N:METH:cg05705583:CAMLG:TssU760:Shore"
"101"	-0.226474502134252	0.394806703035874	0.0967653660474865
"102"	0.0285332705501393	-0.082816718516753	-0.260447600446112
"103"	-7.94704273672261e-05	-0.565592371390897	-0.443748756437812
"104"	-0.27763618301972	0.28192073587902	-0.342987391539582
"105"	-0.198426140909972	-0.165358551766914	-0.324040604860672
"106"	-0.208250286149267	-0.313075146396951	-0.477497570124174
"107"	-0.0788170085576707	-0.333713016802806	0.233355128569206
"108"	-0.188168867022852	-0.307440496412369	-0.320721915482947
"109"	-0.161190202307593	-0.165416442006482	-0.377591091925271
"110"	-0.083062981817406	-0.0642339516155477	-0.0841536337483357
"111"	-0.267405159353681	-0.448972483781932	-0.436991309325715
"112"	-0.208125597599136	-0.584860172793653	-0.514882053649809
"113"	-0.174695941053398	-0.480213916401923	-0.215897437395779
"114"	-0.163263969772935	-0.23190338214989	-0.337521879945007
"115"	-0.176940334955762	-0.0482851906146693	0.0295751136677796
"116"	-0.0869939524241781	-0.30919650034592	-0.239406821627278
"117"	-0.0503945816829961	-0.392780357908299	-0.320472173301121
"118"	-0.199298960760891	-0.0469440667313528	-0.323411446671842
"119"	-0.151149492744385	0.290990206744613	-0.052263478222871
"120"	-0.29912198897393	-0.44181339082207	-0.437423555409644
"121"	-0.167188377824437	-0.51644355799799	-0.259112440320197
"122"	-0.255566309646474	0.19064712482741	-0.370094023736227
"123"	-0.256734444484546	-0.378433226868791	-0.409572499401787
"124"	-0.163244282107125	-0.312515540747797	-0.45909349241731
"125"	-0.169970901258947	-0.254316553235819	-0.127762460882556
"126"	-0.233115808067563	-0.543179200304968	2.07626032107393
"127"	-0.266834217045184	-0.319558853228524	-0.276224582509539
"128"	-0.266912967708425	0.00597726060671055	-0.416315538311087
"129"	-0.265075452232806	-0.0373342869631283	3.46742032852967
"130"	-0.246096542391762	1.94607215598279	3.58503929070115
"131"	-0.243871836155209	0.814703907366324	0.757141327606434
"132"	-0.241450253260553	-0.483677682402719	1.86225048218617
"133"	-0.24683154858201	2.50529187020597	2.7226122985765
"134"	-0.303564838891768	-0.463454692047098	-0.367226791379495
"135"	-0.201845232205678	1.94983502155469	0.543515707459946
"136"	-0.176211891320784	1.69203048801356	2.12889828862801
"137"	-0.183181325017598	2.22626091549006	2.81900317529277
"138"	-0.248347498849396	1.45284731486669	2.23854471191812
"139"	-0.312017410079618	1.73515871649144	1.12623145593956
"140"	-0.286836885508359	1.33407584002046	-0.320472173301121
"141"	-0.304155468866074	1.52540308179144	2.50197468640182
"142"	-0.263841691842032	-0.542243308098625	-0.504911577313836
"143"	-0.283352168659951	1.09325244341918	2.88676975578439
"144"	-0.269944868243198	-0.20454059558093	0.6079684013081
"145"	-0.177327525716696	0.000574171580399691	1.77191105064491
"146"	-0.226192312257639	1.46982845180653	0.796715857957312
"147"	3.7349857364226	2.987324598339	2.67088685053293
"148"	4.52537989314987	4.23177178157755	-0.43166507702485
"149"	5.00523393449741	4.60516382678868	3.35921472551932
"150"	3.05162685615018	2.42578927453311	1.89327614554378
"151"	4.03522264002832	2.94766978423518	2.72895190780746
"152"	3.5012275177027	2.56424343083233	1.93765341016054
"153"	4.43822915916333	3.21599104463109	2.84340106536346
"154"	4.49027022245499	3.42671151665722	3.30508791034282
"155"	2.75329309357278	1.88171750633012	0.294349853745923
